Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
200186,2020,12/11/2020,Branford,3 GROVE CT,43400.00,86501.00,0.5017,Residential,Condo,,,,
200197,2020,12/18/2020,Branford,69 CHURCH ST,200900.00,320000.00,0.6278,Residential,Two Family,,,,
201347,2020,09/22/2021,Bristol,118 MOODY ST,117950.00,240000.00,0.4914,Residential,Single Family,,,,
201354,2020,09/23/2021,Bristol,103 BUTTERNUT LN,61950.00,129900.00,0.4769,Residential,Condo,,,,
200419,2020,01/15/2021,Bristol,MILL POND DR LOT 50,47530.00,100000.00,0.4753,Vacant Land,,,,,
200387,2020,01/06/2021,Bristol,WILDEWOOD RUN LOT 50,47530.00,44900.00,1.0585,Vacant Land,,,,,
200193,2020,11/18/2020,Bristol,14 CREST DR,150290.00,276000.00,0.5445,Residential,Single Family,,,,
200207,2020,11/23/2020,Bristol,BROAD PLACE LOTS 225-6 AND 224,8400.00,38500.00,0.2181,Vacant Land,,25 - Other,MULTIPLE LOT SALE,,POINT (-72.90406 41.66996)
200598,2020,03/19/2021,Bristol,50 ROSEMONT AVE,87500.00,175000.00,0.5,Residential,Single Family,,,,
201048,2020,07/13/2021,Bristol,17 LINCOLN ST,102270.00,190000.00,0.5382,Residential,Two Family,,,,
201081,2020,07/22/2021,Bristol,28 HULL ST,130690.00,190000.00,0.6878,Residential,Three Family,,,,
20000048,2020,11/04/2020,Brookfield,101 OBTUSE RD SOUTH,378680.00,537000.00,0.705176909,Residential,Single Family,,,,
20093,2020,02/02/2021,Burlington,57 ROCK RD,194670.00,275000.00,0.7078,Residential,Single Family,10 - A Will,ESTATE SALE,,
20188,2020,07/19/2021,Burlington,206 COVEY RD,286860.00,540000.00,0.5312,Residential,Single Family,,,,POINT (-72.97635 41.79258)
200164,2020,05/27/2021,Canton,558 CHERRY BROOK ROAD,125390.00,128000.00,0.9796,Residential,Single Family,,,,
2000478,2020,08/20/2021,Cheshire,249 REDWOOD LANE,202590.00,425000.00,0.4766,Residential,Single Family,,,,
200114,2020,01/29/2021,Colchester,133 BRAINARD RD,139200.00,292500.00,0.4758,Residential,Single Family,,,,
200185,2020,04/26/2021,Colchester,OLD AMSTON RD,55000.00,250000.00,0.22,Vacant Land,,,,,
200142,2020,03/04/2021,Coventry,SQUIRREL TR,35600.00,42750.00,0.8327,Vacant Land,,,R/C/8,,
200192,2020,04/29/2021,Coventry,157 STONEHOUSE RD,83400.00,65000.00,1.283,Residential,Single Family,14 - Foreclosure,,,
200282,2020,07/15/2021,Coventry,1467 SOUTH ST,359800.00,480000.00,0.7495,Commercial,,,,,
200110,2020,01/14/2021,Cromwell,25 MIDWAY DR,128200.00,208000.00,0.6163,Residential,Condo,25 - Other,BAA OVERRIDE,,
200081,2020,12/14/2020,Cromwell,11 MYSTIQUE LANE,210350.00,322000.00,0.6532,Residential,Condo,,,,
200485,2020,01/13/2021,Danbury,27 CROWS NEST LA 6A,110300.00,195000.00,0.5656,Residential,Condo,,L15008-61,,
200915,2020,05/10/2021,Danbury,51 OLD BOSTON POST RD,191600.00,394000.00,0.4862,Residential,Single Family,,H22043,,
201402,2020,08/24/2021,Danbury,305 LARSON DR,188600.00,360000.00,0.5238,Residential,Condo,,C15019-19,,
200099,2020,10/20/2020,Danbury,15 SCUPPO RD 803,161400.00,270000.00,0.5977,Residential,Condo,,F14068-803,,
200284,2020,11/24/2020,Danbury,18 KING ST,203400.00,309000.00,0.6582,Residential,Single Family,,D06099,,
200384,2020,12/21/2020,Danbury,3 DANA RD,61300.00,90000.00,0.6811,Vacant Land,,,F06068,,
20176,2020,02/03/2021,Darien,14 GIDEON LANE,114170.00,184499.00,0.6188,Residential,Condo,,,,
20224,2020,03/17/2021,Darien,12 SUNNYSIDE AVE,602980.00,650000.00,0.9276,Residential,Single Family,,,,
20086,2020,11/16/2020,Darien,16 OAKSHADE AVE,746220.00,1140000.00,0.6545,Residential,Single Family,,,,
20129,2020,03/30/2021,Derby,196 ELIZABETH ST,351260.00,873000.00,0.4023,Commercial,,,,,
200108,2020,07/14/2021,East Granby,6 SCHOOLHOUSE LANDING,211100.00,373500.00,0.5651,Residential,Condo,,,,
200030,2020,12/30/2020,East Granby,17 BONNIEVIEW DRIVE,148200.00,260000.00,0.57,Residential,Single Family,,,,
200192,2020,05/10/2021,East Haddam,96 LONGWOOD DR,83020.00,175000.00,0.4744,Residential,Single Family,,,,POINT (-72.33294 41.51729)
200306,2020,09/29/2021,East Haddam,162 NORWICH SALEM RD,219810.00,439900.00,0.4996,Residential,Single Family,,,,
20426,2020,03/19/2021,East Hartford,9 ROSE ST,90680.00,95001.00,0.9545,Residential,Single Family,14 - Foreclosure,,,
20486,2020,04/19/2021,East Hartford,37 PENDLETON DR,113530.00,225000.00,0.5045,Residential,Single Family,,,,
20644,2020,06/24/2021,East Hartford,257 PROSPECT ST,83850.00,128000.00,0.655,Residential,Single Family,25 - Other,UNKNOWN,,
20795,2020,08/04/2021,East Hartford,31 MARGERY DR,107390.00,260000.00,0.413,Residential,Single Family,,,,
20913,2020,09/14/2021,East Hartford,2 LAFAYETTE AVE,87380.00,235000.00,0.3718,Residential,Single Family,14 - Foreclosure,,,
20035,2020,10/16/2020,East Hartford,54 OLMSTED ST,91210.00,160000.00,0.57,Residential,Single Family,,,,
20178,2020,12/02/2020,East Hartford,101 LAUREL ST,135990.00,215000.00,0.6325,Residential,Two Family,,,,
200194,2020,01/04/2021,East Haven,116 PLEASANT AVE,149030.00,360500.00,0.4133,Residential,Single Family,,,,
200394,2020,04/13/2021,East Haven,19 FARVIEW AVE,146250.00,291000.00,0.5025,Residential,Single Family,,,,
200469,2020,05/13/2021,East Haven,15 ELM CT,108350.00,247000.00,0.4386,Residential,Single Family,,,,
200148,2020,12/07/2020,East Haven,6 WHEATON RD,160060.00,275000.00,0.582,Residential,Single Family,,,,
200162,2020,01/12/2021,East Lyme,38 GURLEY RD,159460.00,243000.00,0.6562,Residential,Two Family,,,,
200336,2020,05/18/2021,East Lyme,77 LOVERS LN,86100.00,124000.00,0.6943,Vacant Land,,,,,
200532,2020,09/29/2021,East Lyme,8 WINTHROP DR,219100.00,475000.00,0.4612,Residential,Single Family,,,,
200081,2020,01/29/2021,Easton,95 ROCK HOUSE ROAD,275960.00,370000.00,0.7458,Residential,Single Family,,,,
200114,2020,04/13/2021,East Windsor,12A PASCO DR,108920.00,144000.00,0.7563,Commercial,,,COMM CONDO,,
200017,2020,10/20/2020,East Windsor,131 DEPOT ST,34730.00,290000.00,0.1197,Vacant Land,,28 - Use Assessment,FARM LAND,,
200473,2020,04/28/2021,Enfield,38 RAFFIA RD,107210.00,205000.00,0.5229,Residential,Single Family,,,,
200548,2020,05/27/2021,Enfield,51 DARTMOOR,180480.00,330000.00,0.5469,Residential,Condo,,,,
200760,2020,07/27/2021,Enfield,1 VERNON RD,116790.00,252000.00,0.4634,Residential,Single Family,,,,
200932,2020,09/24/2021,Enfield,HAMLET B03UF,88610.00,189900.00,0.4666,Residential,Condo,,,,
200111,2020,11/09/2020,Enfield,197 BRAINARD RD,111550.00,206000.00,0.5415,Residential,Single Family,,,,
200143,2020,05/11/2021,Essex,17 PARTRIDGE LN,246800.00,575000.00,0.4292,Residential,Single Family,,,,
200183,2020,07/15/2021,Essex,13 WALNUT ST,197500.00,400000.00,0.4937,Residential,Single Family,,,,
200130,2020,11/30/2020,Farmington,11 WHITEHALL PLACE,491890.00,765000.00,0.6429,Residential,Single Family,,,,
20031,2020,04/08/2021,Franklin,55 TOWNLINE BLVD,48280.00,69000.00,0.699710145,Vacant Land,,,,,
200402,2020,04/08/2021,Glastonbury,63 FOX DEN RD,247000.00,399000.00,0.619,Residential,Single Family,,,,
200708,2020,07/26/2021,Glastonbury,42 BELL ST,161300.00,315000.00,0.512,Residential,Single Family,,,,
200826,2020,09/07/2021,Glastonbury,87 BENTON LN,172800.00,345000.00,0.5008,Residential,Single Family,,,,
200120,2020,11/18/2020,Glastonbury,1326 HEBRON AVE,58500.00,72500.00,0.8068,Vacant Land,,,,,
200095,2020,06/07/2021,Goshen,44 ROCKWALL COURT,322150.00,628000.00,0.5129,Residential,Single Family,,,,
20000214,2020,07/13/2021,Granby,15 WINDMILL DR,112350.00,199000.00,0.5645,Residential,Condo,,,,
20000275,2020,09/20/2021,Granby,30 FIRETOWN RD,154210.00,315000.00,0.4895,Public Utility,,,,,
200630,2020,02/16/2021,Greenwich,2350000,1964480.00,2350000.00,0.8359,Residential,Single Family,,,,
200693,2020,03/05/2021,Greenwich,10 NIMITZ PLACE,548800.00,870000.00,0.6308,Residential,Single Family,,,,
200890,2020,04/22/2021,Greenwich,188 BIBLE STREET,737590.00,1364000.00,0.5407,Residential,Single Family,,,,POINT (-73.59662 41.05717)
201711,2020,09/09/2021,Greenwich,15 SHOAL POINT ROAD,2623950.00,3900000.00,0.6728,Residential,Single Family,,,,
200386,2020,12/18/2020,Greenwich,328 LAKE AVENUE,1908690.00,2850000.00,0.6697,Residential,Single Family,,,,
201798,2020,12/09/2020,Greenwich,9 WEST END AVE,1329090.00,1920000.00,0.6922,Residential,Single Family,,,,
201148,2020,04/01/2021,Griswold,80 QUINEBAUG CAMP RD,43610.00,60000.00,0.7268,Vacant Land,,,,,
201198,2020,05/10/2021,Griswold,94 PLEASANT VIEW,35980.00,36000.00,0.9994,Vacant Land,,,,,
201238,2020,06/21/2021,Griswold,33 RUSSEL STREET UNIT 10,47180.00,123800.00,0.381098546,Residential,Condo,,,,
200557,2020,06/22/2021,Groton,0 GOLD STAR HWY,7000.00,10000.00,0.7,Vacant Land,,,,,
200590,2020,07/07/2021,Groton,7 FOREST AVE,166040.00,330000.00,0.5031,Residential,Single Family,,,,POINT (-72.00456 41.38926)
200682,2020,08/11/2021,Groton,18 BERN CT,110810.00,260000.00,0.426192308,Residential,Single Family,,,,
200790,2020,09/27/2021,Groton,84 BEACH POND RD,297360.00,670000.00,0.4438,Residential,Single Family,,,,
200053,2020,10/19/2020,Groton,48 CREST DR,123410.00,260000.00,0.474653846,Residential,Single Family,,,,
200179,2020,12/11/2020,Groton,31 THAMES HEIGHT LN,109340.00,160000.00,0.6833,Residential,Condo,,,,
200057,2020,10/29/2020,Guilford,45 ROUND HILL RD,186910.00,252000.00,0.7417,Residential,Single Family,,,,
20428,2020,02/17/2021,Hartford,25 CHARTER OAK AVE,189770.00,245000.00,0.7745,Commercial,,,,,
20820,2020,05/28/2021,Hartford,241 WESTLAND ST,120680.00,240000.00,0.5028,Apartments,,,,,POINT (-72.68296 41.79166)
201046,2020,07/29/2021,Hartford,30 ASHLEY ST,107530.00,350000.00,0.3072,Residential,Two Family,,,,
201140,2020,08/20/2021,Hartford,255 MARTIN ST,6230.00,16500.00,0.3775,Vacant Land,,,,,
200078,2020,05/10/2021,Harwinton,42 FOX HUNT WAY,70990.00,110000.00,0.6453,Vacant Land,,,,,
200175,2020,03/11/2021,Killingly,62 ATHOL ST,55860.00,102000.00,0.5476,Residential,Condo,,,,
200097,2020,12/11/2020,Killingly,106 MAIN ST,64400.00,66900.00,0.9626,Commercial,,,,,
200043,2020,12/09/2020,Killingworth,46 TITUS COAN ROAD,354040.00,645000.00,0.5488,Residential,Single Family,,,,
20059,2020,02/18/2021,Lebanon,54 FIRST ST,121510.00,229900.00,0.5285,Residential,Single Family,,,,
20001,2020,10/05/2020,Lisbon,24 BLISSVILLE RD,127230.00,190000.00,0.6696,Residential,Single Family,,,,
200010,2020,10/05/2020,Litchfield,577 MAPLE ST,207690.00,345000.00,0.602,Residential,Single Family,,,,
200052,2020,11/16/2020,Litchfield,68 BEACH ST,149570.00,200000.00,0.7478,Residential,Two Family,,,,
200206,2020,02/25/2021,Madison,34 FAIRVIEW AVE,1298800.00,2175000.00,0.5971,Residential,Single Family,,,,
200258,2020,04/05/2021,Madison,32 JEFFERSON PARK RD,257800.00,475000.00,0.5427,Residential,Single Family,,,,
200513,2020,09/08/2021,Madison,2162 DURHAM RD,260200.00,501000.00,0.5193,Residential,Single Family,,,,
200467,2020,01/19/2021,Manchester,63 PITKIN STREET,124900.00,249900.00,0.4997,Residential,Single Family,,,,
201099,2020,08/04/2021,Manchester,151 MAPLE STREET,92900.00,165000.00,0.563,Residential,Single Family,,,,
201219,2020,09/03/2021,Manchester,236 WEST CENTER STREET,103300.00,210000.00,0.4919,Residential,Single Family,,,,
200030,2020,10/07/2020,Manchester,53 NORTH STREET,173900.00,250000.00,0.6956,Residential,Four Family,,,,
200095,2020,03/02/2021,Mansfield,42 SAWMILL BROOK RD,279000.00,435000.00,0.6413,Residential,Single Family,,,,
200198,2020,06/25/2021,Mansfield,5 MOUNTAIN RD,145300.00,250000.00,0.5812,Residential,Single Family,,,,
200268,2020,08/26/2021,Mansfield,40 OLD KENT RD,155900.00,284400.00,0.5481,Residential,Single Family,,,,
200056,2020,12/21/2020,Mansfield,23 PHILIP DR,194900.00,307000.00,0.6348,Residential,Single Family,,,,
200562,2020,03/15/2021,Meriden,302 EAST MAIN ST,111090.00,150000.00,0.7406,Commercial,,,,,
200784,2020,05/17/2021,Meriden,69 LINSLEY AVE,165830.00,325000.00,0.5102,Apartments,,,,,
200961,2020,07/01/2021,Meriden,52 ROYAL OAK CIR,130340.00,305000.00,0.4273,Residential,Single Family,,,,
201015,2020,07/16/2021,Meriden,209 BLACKSTONE VLG,37240.00,114900.00,0.3241,Residential,Condo,,,,
201123,2020,08/16/2021,Meriden,30 LA MIRAGE,74060.00,145000.00,0.5107,Residential,Condo,,,,
201166,2020,08/26/2021,Meriden,6006 MEETINGHOUSE VLG,59430.00,135000.00,0.4402,Residential,Condo,,,,
200177,2020,06/09/2021,Middlebury,289 BURR HALL RD,1144200.00,1676250.00,0.682595078,Residential,Single Family,,,,
200531,2020,04/05/2021,Middletown,87 WESTWOOD LA,285040.00,400000.00,0.7126,Residential,Single Family,,,,
200888,2020,07/29/2021,Middletown,PHEDON PKWY,49220.00,100000.00,0.4922,Vacant Land,,,,,
200092,2020,11/02/2020,Middletown,1692 BARTHOLOMEW RD,170650.00,325000.00,0.525,Residential,Single Family,,,,
